Fracción;Uso;Impuesto importación
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Piñones;3,2% *Tipo de los derechos autónomos: 2
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Las demas nueces;3,2% *Tipo de los derechos autónomos: 2
0803 - Plátanos (bananas), incluidos los «plantains» (plátanos macho), frescos o secos;Platano macho fresco ;16%
0803 - Plátanos (bananas), incluidos los «plantains» (plátanos macho), frescos o secos;Platano macho seco;16%
0803 - Plátanos (bananas), incluidos los «plantains» (plátanos macho), frescos o secos;Resto platanos frescos;132 €/1 000 kg/net
0803 - Plátanos (bananas), incluidos los «plantains» (plátanos macho), frescos o secos;Resto platanos seco;16%
"0804 - Dátiles, higos, piñas (ananás), aguacates (paltas), guayabas, mangos y mangosta
nes, frescos o secos";Datiles ;7,70%
"0804 - Dátiles, higos, piñas (ananás), aguacates (paltas), guayabas, mangos y mangosta
nes, frescos o secos";Higos  Frescos;5,60%
"0804 - Dátiles, higos, piñas (ananás), aguacates (paltas), guayabas, mangos y mangosta
nes, frescos o secos";Higos  secos ;8%
"0804 - Dátiles, higos, piñas (ananás), aguacates (paltas), guayabas, mangos y mangosta
nes, frescos o secos";Piñas;6%
"0804 - Dátiles, higos, piñas (ananás), aguacates (paltas), guayabas, mangos y mangosta
nes, frescos o secos";Aguacates;— Del 1 de enero al 31 de mayo: 4. — Del 1 de junio al 30 de noviembre: 5,1. — Del 1 al 31 de diciembre: 4.
"0804 - Dátiles, higos, piñas (ananás), aguacates (paltas), guayabas, mangos y mangosta
nes, frescos o secos";Guayabas, mangos y mangostanes;exención
0805 - Agrios (cítricos) frescos o secos;Clementinas;Impuesto sujeto a precio de entrada.
0805 - Agrios (cítricos) frescos o secos;Monreales y satsumas;Impuesto sujeto a precio de entrada.
0805 - Agrios (cítricos) frescos o secos;Mandarinas y wilkings;Impuesto sujeto a precio de entrada.
0805 - Agrios (cítricos) frescos o secos;Tangerinas;Impuesto sujeto a precio de entrada.
0805 - Agrios (cítricos) frescos o secos;Los demás;Impuesto sujeto a precio de entrada.
0805 - Agrios (cítricos) frescos o secos;Toronjas o pomelos;— Del 1 de enero al 30 de abril: 1,5. — Del 1 de mayo al 31 de octubre: 2,4. — Del 1 de noviembre al 31 de diciembre: 1,5.
0805 - Agrios (cítricos) frescos o secos;Limones (Citrus limon, Citrus limonum);Impuesto sujeto a precio de entrada.
0805 - Agrios (cítricos) frescos o secos;Limas (Citrus aurantifolia, Citrus latifolia);12,80%
0805 - Agrios (cítricos) frescos o secos;Los demas;12,80%
0806 - Uvas, frescas o secas, incluidas las pasas;Uvas frescas de mesa;Impuesto sujeto a precio de entrada.
0806 - Uvas, frescas o secas, incluidas las pasas;Demas uvas frescas;— Del 1 de enero al 14 de julio: 14,4. — Del 15 de julio al 31 de octubre: 17,6 — Del 1 de noviembre al 31 de diciembre: 14,4.
0806 - Uvas, frescas o secas, incluidas las pasas;Pasas de Corinto ;2,40%
0806 - Uvas, frescas o secas, incluidas las pasas;Pasas sultaninas;2,40%
0806 - Uvas, frescas o secas, incluidas las pasas;Las demás uvas secas;2,40%
0807 - Melones, sandías y papayas, frescos;Sandias;8,80%
0807 - Melones, sandías y papayas, frescos;Papayas;exención
0807 - Melones, sandías y papayas, frescos;Melones;8,80%
0808 - Manzanas, peras y membrillos, frescos;Manzanas para sidra, a granel, del 16 de septiembre al 15 de diciembre;7,2 MIN 0,36 €/ 100 kg/net
0808 - Manzanas, peras y membrillos, frescos;Demas Manzanas;Impuesto sujeto a precio de entrada.
