Fracción;Uso;Impuesto importación
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Fresas (frutillas): Con un contenido de azúcares superior al 13 % en peso ;20,8 + 8,4 €/ 100 kg/net
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Fresas (frutillas): Demás fresas congeladas;20,80%
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Frambuesas, zarzamoras, moras, moras-frambuesa y grosellas: Con un contenido de azúcares superior al 13 % en peso;20,8 + 8,4 €/ 100 kg/net
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Frambuesas;14,40%
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Grosellas negras (casis);14,40%
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Grosellas rojas;12%
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Zarzamoras, moras y moras-frambuesa;12%
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Las demás: Frambuesas, zarzamoras, moras, moras-frambuesa y grosellas;14,40%
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante"; Frutos tropicales y nueces tropicales con un contenido de azúcares superior al 13 % en peso;13 + 5,3 €/100 kg/ net
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Frutos tropicales y nueces tropicales;13,30%
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Frutos del Vaccinium myrtillus (arándanos, mirtilos;12%
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Frutos de las especies Vaccinium myrtilloides y Vaccinium angustifolium;3,20%
"0811 - Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso 
con adición de azúcar u otro edulcorante";Cerezas;14,40%
"0812 - Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas 
sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para 
dicha conservación), pero todavía impropios para consumo inmediato";Cerezas;8,80%
"0812 - Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas 
sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para 
dicha conservación), pero todavía impropios para consumo inmediato";Albaricoques (damascos, chabacanos), naranjas;12,80%
"0812 - Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas 
sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para 
dicha conservación), pero todavía impropios para consumo inmediato";Papayas;2,30%
"0812 - Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas 
sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para 
dicha conservación), pero todavía impropios para consumo inmediato";Arándanos, mirtilos (frutos del Vaccinium myrtillus);6,40%
"0812 - Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas 
sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para 
dicha conservación), pero todavía impropios para consumo inmediato";Guayabas, mangos, mangostanes, tamarindos, peras de marañón (merey, cajuil, anacardo, cajú), litchis, frutos del árbol del pan, sapotillos, frutos de la pasión, carambolas, pitahayas y nueces tropicales;5,50%
"0812 - Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas 
sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para 
dicha conservación), pero todavía impropios para consumo inmediato";Resto;8,80%
"0813 - Frutas y otros frutos, secos, excepto los de las partidas 0801 a 0806; mezclas de 
frutas u otros frutos, secos, o de frutos de cáscara de este capítulo";Albaricoques (damascos, chabacanos);5,60%
"0813 - Frutas y otros frutos, secos, excepto los de las partidas 0801 a 0806; mezclas de 
frutas u otros frutos, secos, o de frutos de cáscara de este capítulo";Ciruelas;9,60%
"0813 - Frutas y otros frutos, secos, excepto los de las partidas 0801 a 0806; mezclas de 
frutas u otros frutos, secos, o de frutos de cáscara de este capítulo";Manzanas;3,20%
"0813 - Frutas y otros frutos, secos, excepto los de las partidas 0801 a 0806; mezclas de 
frutas u otros frutos, secos, o de frutos de cáscara de este capítulo";Melocotones, incluidos los griñones y nectarinas;5,60%
"0813 - Frutas y otros frutos, secos, excepto los de las partidas 0801 a 0806; mezclas de 
frutas u otros frutos, secos, o de frutos de cáscara de este capítulo";Peras  ;6,40%
"0813 - Frutas y otros frutos, secos, excepto los de las partidas 0801 a 0806; mezclas de 
frutas u otros frutos, secos, o de frutos de cáscara de este capítulo";Papayas;2%
"0813 - Frutas y otros frutos, secos, excepto los de las partidas 0801 a 0806; mezclas de 
frutas u otros frutos, secos, o de frutos de cáscara de este capítulo";Tamarindos, peras de marañón (merey, cajuil, anacardo, cajú), frutos del árbol del pan, litchis, sapotillos, frutos de la pasión, carambolas y pitahayas .;exención
"0813 - Frutas y otros frutos, secos, excepto los de las partidas 0801 a 0806; mezclas de 
frutas u otros frutos, secos, o de frutos de cáscara de este capítulo";"Mezclas de frutos seccos sin ciruela pasa.  De papayas, tamarindos, peras de marañón (merey, cajuil, anacardo, cajú), litchis, frutos
del árbol del pan, sapotillos, frutos de la pasión, carambolas y pitahayas";4%
"0813 - Frutas y otros frutos, secos, excepto los de las partidas 0801 a 0806; mezclas de 
frutas u otros frutos, secos, o de frutos de cáscara de este capítulo";"Mezclas de frutos seccos con ciruela pasa.  De papayas, tamarindos, peras de marañón (merey, cajuil, anacardo, cajú), litchis, frutos
del árbol del pan, sapotillos, frutos de la pasión, carambolas y pitahayas";9,60%
"0814 - Cortezas de agrios (cítricos), melones o sandías, frescas, congeladas, secas o 
presentadas en agua salada, sulfurosa o adicionada de otras sustancias para su 
conservación provisional";Cortezas de agrios (cítricos), melones o sandías, frescas, congeladas, secas o presentadas en agua salada, sulfurosa o adicionada de otras sustancias para su conservación provisional;1,60%
"2201 - Agua, incluidas el agua mineral natural o artificial y la gaseada, sin adición de 
azúcar u otro edulcorante ni aromatizada; hielo y nieve";Agua mineral y agua gaseada;exención
"2202 - Agua, incluidas el agua mineral y la gaseada, con adición de azúcar u otro 
edulcorante o aromatizada, y demás bebidas no alcohólicas, excepto los jugos 
de frutas u otros frutos o de hortalizas de la partida 2009";Agua, incluidas el agua mineral y la gaseada, con adición de azúcar u otro edulcorante o aromatizada;9,60%
"2202 - Agua, incluidas el agua mineral y la gaseada, con adición de azúcar u otro 
edulcorante o aromatizada, y demás bebidas no alcohólicas, excepto los jugos 
de frutas u otros frutos o de hortalizas de la partida 2009";Que no contengan productos de las partidas 0401 a 0404 o materias grasas procedentes de dichos productos;9,60%
"2202 - Agua, incluidas el agua mineral y la gaseada, con adición de azúcar u otro 
edulcorante o aromatizada, y demás bebidas no alcohólicas, excepto los jugos 
de frutas u otros frutos o de hortalizas de la partida 2009";Las demás, con un contenido de materias grasas procedentes de los productos de las partidas 0401 a 0404: Inferior al 0,2 % en peso;6,4 + 13,7 €/ 100 kg/net
"2202 - Agua, incluidas el agua mineral y la gaseada, con adición de azúcar u otro 
edulcorante o aromatizada, y demás bebidas no alcohólicas, excepto los jugos 
de frutas u otros frutos o de hortalizas de la partida 2009";Las demás, con un contenido de materias grasas procedentes de los productos de las partidas 0401 a 0404: Superior o igual al 0,2 % pero inferior al 2 % en peso;5,5 + 12,1 €/ 100 kg/net
"2202 - Agua, incluidas el agua mineral y la gaseada, con adición de azúcar u otro 
edulcorante o aromatizada, y demás bebidas no alcohólicas, excepto los jugos 
de frutas u otros frutos o de hortalizas de la partida 2009";Las demás, con un contenido de materias grasas procedentes de los productos de las partidas 0401 a 0404: Superior o igual al 2 % en peso ;5,4 + 21,2 €/ 100 kg/net
2203 - Cerveza de malta;Todas;exención
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Champán;32 €/hl
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Asti spumante;32 €/hl
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Demás espumosos;32 €/hl
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Vinos con indicación geográfica protegida (IGP) .;32 €/hl
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Otros vinos de variedades;32 €/hl
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Vino , en botellas con tapón en forma de champiñón sujeto por ataduras o ligaduras, vino que se presente de otra forma y tenga a 20 °C una sobrepresión, debida al anhídrido carbónico disuelto, superior o igual a 1 bar pero inferior a 3 bar:;32 €/hl
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Originarios de la Unión Europea: Alsace (Alsacia), Bordeaux (Burdeos), Bourgogne (Borgoña), Val de Loire (Valle del Loira), Mosel, Pfalz, Rheinhessen, Tokaj, Lazio (Lacio), Toscana, Trentino, Alto Adige y Friuli, Veneto, Vinho Verde, Penedès, Rioja, Valencia, Los demás. Los demás: Bordeaux (Burdeos), Bourgogne (Borgoña), Beaujolais, Côtes-du-Rhône (Costas del Ródano), Languedoc-Roussillon (Languedoc-Rosellón), Val de Loire (Valle del Loira), Piemonte (Piamonte), Toscana, Trentino y Alto Adige, Veneto, Dão, Bairrada y Douro (Duero), Navarra, Penedès, Rioja, Valdepeñas, Los demás. Vinos con indicación geográfica protegida (IGP): Vino blanco, Los demás. Otros vinos de variedades: Vino blanco, Los demás. Los demás: Vino blanco, Los demás.;De grado alcohólico adquirido inferior o igual al 13 % vol: 13,1 €/hl. De grado alcohólico adquirido superior a 13 % pero inferior o igual al 15 % vol: 15,4 €/h
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";De grado alcohólico adquirido superior a 15 % pero inferior o igual al 22 % vol: Vinos con denominación de origen protegida (DOP) o vinos con indicación geográfica protegida (IGP): Vino de Madeira y moscatel de Setúbal, Vino de Jerez.;De grado alcohólico adquirido superior a 15 % pero inferior o igual al 18 % vol: 14,8 €/hl. De grado alcohólico adquirido superior a 18 % pero inferior o igual al 22 % vol: 15,8 €/hl.
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Vino de Marsala, Vino de Samos y moscatel de Lemnos, Vino de Oporto.;De grado alcohólico adquirido superior a 15 % pero inferior o igual al 18 % vol: 18,6 €/hl. De grado alcohólico adquirido superior a 18 % pero inferior o igual al 22 % vol: 20,9 €/hl.
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";De grado alcohólico adquirido superior a 22 % vol;1,75 €/% vol/hl
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Vinos con denominación de origen protegida (DOP) o vinos con indicación geográfica protegida (IGP): Vino blanco ;De grado alcohólico adquirido inferior o igual al 13 % vol: 13,1 €/hl. De grado alcohólico adquirido superior a 13 % pero inferior o igual al 15 % vol: 15,4 €/hl. De grado alcohólico adquirido superior a 15 % pero inferior o igual al 18 % vol: 18,6 €/hl. De grado alcohólico adquirido superior a 18 % pero inferior o igual al 22 % vol: 20,9 €/hl. De grado alcohólico adquirido superior a 22 % vol: 1,75 €/% vol/hl.
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Originarios de la Unión Europea: De grado alcohólico adquirido inferior o igual al 15 % vol:Tokaj;De grado alcohólico adquirido inferior o igual al 13 % vol: 13,1 €/hl. De grado alcohólico adquirido superior a 13 % pero inferior o igual al 15 % vol: 14,2 €/hl.
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Originarios de la Unión Europea: De grado alcohólico adquirido inferior o igual al 15 % vol:Bordeaux (Burdeos), Bourgogne (Borgoña), Val de Loire (Valle del Loira), Los demás. Los demás: Bordeaux (Burdeos), Bourgogne (Borgoña), Beaujolais, Côtes-du-Rhône (Costas del Ródano), Languedoc-Roussillon (Languedoc-Rosellón), Val de Loire (Valle del Loira), Los demás. Vinos con indicación geográfica protegida (IGP): Vino blanco, Los demás. Otros vinos de variedades.;De grado alcohólico adquirido inferior o igual al 13 % vol: 9,9 €/hl. De grado alcohólico adquirido superior a 13 % pero inferior o igual al 15 % vol: 12,1 €/hl.
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";De grado alcohólico adquirido superior a 15 % pero inferior o igual al 22 % vol: Vino de Madeira y moscatel de Setúbal, Vino de Jerez, Vino de Oporto;De grado alcohólico adquirido superior a 15 % pero inferior o igual al 18 % vol: 12,1 €/hl. De grado alcohólico adquirido superior a 18 % pero inferior o igual al 22 % vol: 13,1 €/hl
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";De grado alcohólico adquirido superior a 15 % pero inferior o igual al 22 % vol: Vino de Marsala, Vino de Samos y moscatel de Lemnos.;De grado alcohólico adquirido superior a 15 % pero inferior o igual al 18 % vol: 15,4 €/hl. De grado alcohólico adquirido superior a 18 % pero inferior o igual al 22 % vol: 20,9 €/hl.
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Vinos con denominación de origen protegida (DOP) o vinos con indicación geográfica protegida (IGP): Resto;De grado alcohólico adquirido inferior o igual al 13 % vol: 9,9 €/hl. De grado alcohólico adquirido superior a 13 % pero inferior o igual al 15 % vol: 12,1 €/hl. De grado alcohólico adquirido superior a 15 % pero inferior o igual al 18 % vol: 15,4 €/hl. De grado alcohólico adquirido superior a 18 % pero inferior o igual al 22 % vol: 20,9 €/hl. De grado alcohólico adquirido superior a 22 % vol: 1,75 €/% vol/hl.
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";Los demás mostos de uva: Parcialmente fermentados, incluso «apagados», sin utilización del alcohol ;32
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";De masa volúmica inferior o igual a 1,33 g/cm3 a 20 °C y de grado alcohólico adquirido inferior o igual a 1 % vol: Concentrados;Impuesto sujeto a precio de entrada.
"2204 - Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la 
partida 2009";De masa volúmica inferior o igual a 1,33 g/cm3 a 20 °C y de grado alcohólico adquirido inferior o igual a 1 % vol: Resto;Impuesto sujeto a precio de entrada.
"2205 - Vermut y demás vinos de uvas frescas preparados con plantas o sustancias 
aromáticas";Vermut y demás vinos de uvas frescas preparados con plantas o sustancias aromáticas: En recipientes con capacidad inferior o igual a 2 l: De grado alcohólico adquirido inferior o igual a 18 % vol;10,9 €/hl
"2205 - Vermut y demás vinos de uvas frescas preparados con plantas o sustancias 
aromáticas";Vermut y demás vinos de uvas frescas preparados con plantas o sustancias aromáticas: En recipientes con capacidad inferior o igual a 2 l: De grado alcohólico adquirido superior a 18 % vol;0,9 €/% vol/ hl + 6,4 €/hl
"2205 - Vermut y demás vinos de uvas frescas preparados con plantas o sustancias 
aromáticas";Los demas: De grado alcohólico adquirido inferior o igual a 18 % vol ;9 €/hl
"2205 - Vermut y demás vinos de uvas frescas preparados con plantas o sustancias 
aromáticas";Los demas: De grado alcohólico adquirido superior a 18 % vol ;0,9 €/% vol/hl
"2206 - Las demás bebidas fermentadas (por ejemplo: sidra, perada, aguamiel); mezclas 
de bebidas fermentadas y mezclas de bebidas fermentadas y bebidas no alco
hólicas, no expresadas ni comprendidas en otra parte";Piquetas;1,3 €/% vol/hl MIN 7,2 €/hl
"2206 - Las demás bebidas fermentadas (por ejemplo: sidra, perada, aguamiel); mezclas 
de bebidas fermentadas y mezclas de bebidas fermentadas y bebidas no alco
hólicas, no expresadas ni comprendidas en otra parte";Espumosas: Sidra y perada y demas;19,2 €/hl
"2206 - Las demás bebidas fermentadas (por ejemplo: sidra, perada, aguamiel); mezclas 
de bebidas fermentadas y mezclas de bebidas fermentadas y bebidas no alco
hólicas, no expresadas ni comprendidas en otra parte";No espumosas, en recipientes de contenido,  Inferior o igual a 2 l:Sidra y perada;7,7 €/hl
"2206 - Las demás bebidas fermentadas (por ejemplo: sidra, perada, aguamiel); mezclas 
de bebidas fermentadas y mezclas de bebidas fermentadas y bebidas no alco
hólicas, no expresadas ni comprendidas en otra parte";No espumosas, en recipientes de contenido,  Superior a 2 l:Sidra y perada;5,76 €/hl
"2207 - Alcohol etílico sin desnaturalizar con grado alcohólico volumétrico superior o 
igual al 80 % vol; alcohol etílico y aguardiente desnaturalizados, de cualquier 
graduación";Alcohol etílico sin desnaturalizar con grado alcohólico volumétrico superior o igual al 80 % vol;19,2 €/hl
"2207 - Alcohol etílico sin desnaturalizar con grado alcohólico volumétrico superior o 
igual al 80 % vol; alcohol etílico y aguardiente desnaturalizados, de cualquier 
graduación";Alcohol etílico y aguardiente desnaturalizados, de cualquier graduación;10,2 €/hl
220820 -- Aguardiente de vino o de orujo de uvas;Coñac;exención
220820 -- Aguardiente de vino o de orujo de uvas;Armañac;exención
220820 -- Aguardiente de vino o de orujo de uvas;Grappa;exención
220820 -- Aguardiente de vino o de orujo de uvas;Brandy de Jerez;exención
220820 -- Aguardiente de vino o de orujo de uvas;Los demás Aguardiente de vino o de orujo de uvas:;exención
220830 -- Whisky;Whisky, todos;exención
"220840 -- Ron y demás aguardientes procedentes de la destilación, previa fermentación, de pro
ductos de la caña de azúcar";Ron en recipientes de contenido inferior o igual a 2 l:  con un contenido en sustancias volátiles distintas del alcohol etílico y del alcohol metílico superior o igual a 225 g por hectolitro de alcohol puro (con una tolerancia del 10 %);0,6 €/% vol/ hl + 3,2 €/hl
"220840 -- Ron y demás aguardientes procedentes de la destilación, previa fermentación, de pro
ductos de la caña de azúcar";Otros En recipientes de contenido inferior o igual a 2 l: con valor superior a 7,9 € por l de alcohol puro;exención
"220840 -- Ron y demás aguardientes procedentes de la destilación, previa fermentación, de pro
ductos de la caña de azúcar";Ron en recipientes superior a 2 l:  con un contenido en sustancias volátiles distintas del alcohol etílico y del alcohol metílico superior o igual a 225 g por hectolitro de alcohol puro (con una tolerancia del 10 %);0,6 €/% vol/hl
"220840 -- Ron y demás aguardientes procedentes de la destilación, previa fermentación, de pro
ductos de la caña de azúcar";Otros En recipientes de contenido superior a 2 l: con valor superior a 7,9 € por l de alcohol puro;exención
220850 -- Gin y ginebra;Gin y ginebra, todos;exención
220860 -- Vodka;Vodka, todos;exención
220870 -- Licores;Licores, todos;exención
2208900301 --- Tequila ;Tequila;exención
2208900301 --- Tequila ;Tequila;exención
2208900400 --- Sotol.;Sotol;exención
2208900500 --- Mezcal.;Mezcal ;exención
