Sección;Capítulo;Partida;Subpartida;Fracción;Region ;Pais ;Gasto
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Serbia;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Suecia;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Suiza;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Turquía;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Ucrania;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;África y Oceanía;África y Oceanía;0,00
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;América del Norte;América del Norte;5.751.806,39
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Asia;Asia;0,00
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Latinoamérica y Antillas;Latinoamérica y Antillas;91.334,81
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Otros;Otros;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;No identificados de la U.E.;100.644,92
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Albania;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Alemania;0,00
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Austria;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Bélgica;0,00
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Bielorrusia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Bosnia y Herzegovina;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Bulgaria;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Chipre;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Croacia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Dinamarca;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Eslovenia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;España;0,00
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Estonia;
